25 20
#############
#...........#    ########
#...s...s...######......#
#.......................#
#...........######......#
#.....s.....#    #......#
#...........#    #......#
#....O..O...#    #......#
#####..######    ###..###
    #..#           #..#
    #..#           #..#
    #..#          ##..##
  ###..####      #......#
  #..@.Y..#      #......#
  #.......#      #......#
  #.......#      #......#
  #.......#      #......#
  #.D.....#      #......#
  #.......#      #......#
  #########       ######
